"Day","Sales","Trading Profit","Operating Expense","Net Profit"
40,35852282,11503001,2148219,9354782
41,38675259,12240825,2200080,10040745
42,39928362,12713460,2288349,10425111
43,40116195,12802003,2340900,10461103
44,40412146,12978785,2402829,10575956
45,41662211,13327201,2467368,10859833
46,43143169,13916815,2511241,11405574
47,44237415,14251173,2553047,11698126
48,44438343,14384966,2599973,11784993
49,44603576,14484359,2672738,11811621
50,44709780,14555336,2715443,11839893
